CMPS142,PRINCIPLES OF PROGRAMMING I,3
CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,3
HIST201,BELIZEAN HISTORY,3
CMPS247,COMPUTER NETWORKING I,3
MATH125,ADVANCED ALGEBRA,3
CMPS156,DATA STRUCTURES,3
CMPS245,DATABASE MANAGEMENT SYSTEMS I,3
MATH210,DIFFERENTIAL CALCULUS,4
CMPS146,PROGRAMMING FOUNDATIONS,4
CMPS248,SOFTWARE IN SOCIETY,3
CMPS155,COMPUTER TECHNOLOGY,3
CMPS157,SYSTEM ANALYSIS,3
CMPS260,PROJECT,3
SOCL221,INTRODUCTION TO SOCIOLOGY,3
MATH124,TRIGONOMETRY,3
CMPS246,COMPUTER ARCHITECTURE,3
CMPS256,OPERATING SYSTEMS,3
CMPS255,OBJECT ORIENTED SYSTEM DEV.,4
CMPS2171,DATABASE MANAGEMENT SYSTEMS I,3
CMPS2191,NETWORKING 1,3
CMPS1131,PROGRAMMING I,3
PHYS1015,GENERAL PHYSICS I,3
ENGL111,COLLEGE ENGLISH I,3
ENGL112,COLLEGE ENGLISH II,3
MATH1201,TRIGONOMETRY,3
MATH1302,CALCULUS I,3
MATH2201,CALCULUS II,3
PHYS1015L,GENERAL PHYSICS I LAB,1
SPAN111,SPANISH 1,3
GSTU101,STUDY SKILLS,1
MAT103,TRIGONOMETRY 1,3
CMPS213,BASIC PC REPAIR,3
CMPS1232,PRINCIPLES OF PROGRAMMING II,3
MGMT101,APPLIED MANAGEMENT I,3
MATH101,ALGEBRA 1,3
CMPS244,WEB APPLICATION DEV. 1,3
CMPS144,PRINCIPLES OF PROGRAMMING II,3
PSYC221,INTRO TO PSYCHOLOGY,3
CMPS255,OBJECT ORIENTED SYSTEM DEV.,3
BIOL090,DEVELOPMENTAL BIOLOGY,0
CMPS140,INTRODUCTION TO COMPUTER STUDIES,3
CHEM090,DEVELOPMENTAL CHEMISTRY,0
ENGL1014,COLLEGE ENGLISH I,3
MATH1151,ALGEBRA,3
CMPS1134,FUNDAMENTALS OF COMPUTING,3
NRMP101,ENVIRON. CONSERV & DEVELOPMENT I,3
CMPS150,COMPUTER BUSINESS APPLICATION,3
MATH121,INTERMEDIATE ALGEBRA,3
BCOM210,BUSINESS COMMUNICATION,3
ACTG202,PRINCIPLES OF FINANCIAL ACTG II,3
MAT090,DEVELOPMENTAL MATHEMATICS,3
ENGL090,DEVELOPMENTAL ENGLISH,3
CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,3
CMPS316,PROGRAMMING LANGUAGES,3
CMPS314,ALGORITHMS,3
MATH480,LINEAR PROGRAMMING.,3
MATH330,DISCRETE MATHEMATHICS,3
MATH441,NUMERICAL ANALYSIS,3
EENG2151,LANGUAGE METHODS FOR PRIMARY SCHOOL TEACHERS I,3
MGMT1014,FUNDAMENTALS OF MANAGEMENT,3
EMAT1101,COLLEGE MATH FOR PRIMARY SCHOOL TEACHERS I,3
ENGL3105,LANGUAGE AND COMMUNICATION,3
PHIL1014,ETHICS,3
EDUC240,EDUCATIONAL PSYCHOLOGY 1,3
CMPS332,P C REPAIR,3
ACTG201,PRINCIPLES OF ACCOUNTING I,3
CMPS2111,SYSTEMS ANALYSIS,3
CMPS2151,WEB DEVELOPMENT,3
CMPS1212,BASIC PC REPAIR,3
ENGL1025,COLLEGE ENGLISH II,3
HIST1014,INTRODUCTION TO BELIZEAN HISTORY,3
PSYC1014,INTRODUCTION TO PSYCHOLOGY,3
SPAN1025,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
CMPS2992,PROJECT,3
CMPS1014,INTRODUCTION TO COMPUTER STUDIES,3
CMPS2131,DATA STRUCTURES,3
CMPS2252,OPERATING SYSTEMS,3
CMPS2212,GUI PROGRAMMING,3
CMPS2232,OBJECT ORIENTED SYSTEM DEVELOPMENT,3
SPAN1015,LEVEL 1 BEGINNERS SPANISH,3
SOCL1014,INTRODUCTION TO SOCIOLOGY,3
SPAN202,LEVEL 4 HIGH-INTERMEDIATE SPANISH,3
MATH104,CALCULUS I,3
PHYS241,GENERAL PHYSICS I,3
CMPS242,GUI PROGRAMMING,3
PLAS0014,SPANISH PLACEMENT EXAM,0
SPAN2015,LEVEL 3 INTERMEDIATE SPANISH,3
MATH090,REMEDIAL MATH,0
ENG090,REMEDIAL ENGLISH,0
PHIL210,ETHICS,3
MATH203,CALCULUS II,3
CMPS319,SYSTEMS ENGINEERING,3
ECON101,INTRODUCTION TO ECONOMICS ,3
MATH102,COMPLEX NUMBERS & VECTORS,3
CMCN209,COMMUNICATION SKILLS,3
MATH3251,CALCULUS III,3
MATH3151,LINEAR ALGEBRA,3
PHYS242,PHYSICS 11,3
ECON222,PRINCIPLES OF ECONOMICS (MICRO),3
SOCL225,INTRO. TO CULTURAL ANTHROPOLOGY,3
MATH250,APPLIED MATHEMATICS,3
ENGL090,DEVELOPMENTAL ENGLISH,0
SPAN201,LEVEL 3 INTERMEDIATE SPANISH,3
CMPS1171,INTRODUCTION TO DATABASES,3
CMPS1211,HARDWARE FUNDAMENTALS,3
BIOL121,GENERAL BIOLOGY I,3
CHEM121L,GENERAL CHEMISTRY I LAB,0
BIOL121L,GENERAL BIOLOGY I LAB,0
NRMP208,PEOPLE AND PARKS,3
ANTH221,INTRODUCTION TO ANTHROPOLOGY,3
CHEM121,GENERAL CHEMISTRY I,4
NRMP105,INTRODUCTION TO MARINE ECOLOGY,3
MATH090,REMEDIAL MATH,3
SOST290,SOCI/POL ISSUES  IN BELIZEAN DEV.,3
CMPS360,MANAGEMENT INFORMATION SYSTEM,3
SPAN101,LEVEL 1 BEGINNING SPANISH,3
ECON221,PRINCIPLES OF ECONOMICS I (MACRO),3
MAT205,MECHANICS,3
MATH207,STATISTICS,3
HURG211,INTRODUCTION TO HUMAN RIGHTS,3
PHIL300,PHILOSOPHY OF HUMAN NATURE,3
EDUC324,PSYCHOLOGY OF LEARNING,3
LITR400,AFRICAN LITERATURE,3
LITR280,LITERATURE OF THE AMERICAS I,3
ENGL123,GRAMMAR & USAGE,3
LITR210,BRITISH LITERATURE,3
LITR240,CARIBBEAN LITR.,3
SPAN102,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
PHYS241L,GENERAL PHYSICS LAB,1
ENGL318,TECHNICAL WRITING.,3
CMPS414,NETWORKING II,3
CMPS321,TELECOMMUNICATIONS SYSTEMS,3
CMPS323,SYSTEMS ADMINISTRATION,3
CMPS328,DATABASE MGMT. SYS. II,3
ECON1014,INTRODUCTION TO ECONOMICS,3
MATH1014,INTERMEDIATE ALGEBRA,3
ENGL0090,PRE-COLLEGE ENGLISH I,0
ENGL0095,PRE-COLLEGE ENGLISH II,0
BLAW220,BUSINESS LAW,3
MGMT205,PRINCIPLES OF SUPERVISION,3
MKTG221,PRINCIPLES OF MARKETING,3
FNAN221,PRINCIPLES OF FINANCE,3
SPAN112,SPANISH II,3
MATH204,MATHEMATICS OF MODELING,3
MAT206,MECHANICS 2,3
MATH202,STATISTICS 2,3
ENGL299,THE COMPOSING PROCESS,3
CMPS317,ADVANCED GUI DEVELOPMENT,3
MATH1252,COMPLEX NUMBERS & VECTORS,3
SPAN2025,LEVEL 4  HIGH-INTERMEDIATE SPANISH,3
MATH0014,DEVELOPMENTAL MATH,0
CMPS1192,NETWORKING FUNDAMENTALS,3
CMPS2242,SYSTEMS PROGRAMMING & COMPUTER ORGANIZATION,3
PLAE0014,ENGLISH PLACEMENT,0
PLAM0014,MATH PLACEMENT TEST,0
LITR150,SURVEY OF LITERATURE I,3
LITR270,AFRICAN LITERATURE I,3
EDUC222,TEACHING METHODS,3
MGMT285,BUSINESS ETHICS,3
CHEM122,GENERAL CHEMISTRY II,4
BIOL122,GENERAL BIOLOGY II,3
NRMP2201,INTRODUCTION TO MARINE ECOLOGY,3
NRMP2351,WASTE MANAGEMENT,3
NRMP213,PROTECTED AREAS MANAGEMENT,3
NRMP2251,INTRODUCTION TO RECREATION,3
NRMP2301,INTRODUCTION TO GEOLOGY,3
PSY221,INTRODUCTORY PSYCHOLOGY 1,0
PHYS241,GENERAL PHYSICS I,2
SPAN3015,LEVEL 5 ADVANCED SPANISH,3
NRMP210,HOSPITALITY/TOURISM,3
MATH208,INTRO TO DISCRETE MATHEMATICS,3
MATH333,CALCULUS III,3
MATH322,LINEAR ALGEBRA 1,3
BIOL1015L,GENERAL BIOLOGY I LAB,1
BIOL1015,GENERAL BIOLOGY I,3
CHEM0016,DEVELOPMENTAL CHEMISTRY,0
ANTH1024,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3
PHYS241L,GENERAL PHYSICS LAB,0
NRMP1014,ENVIRONMENTAL CONSERVATION & DEVELOPMENT,3
ENGL1035,THE COMPOSING PROCESS,3
SPAN301,LEVEL 5 ADVANCED SPANISH,3
RSCH299,INTRODUCTION TO RESEARCH METHODS,3
MATH402,EUCLIDEAN & NON-EUCLIDEAN GEOMETRY,3
SWRK235,INTRODUCTION TO SOCIAL WORK,3
MGMT373,HUMAN RESOURCE MANAGEMENT,3
ECON2054,PRINCIPLES OF ECONOMICS (MICRO),3
QMGT221,BUSINESS STATISTICS 1,3
BLAW2014,BUSINESS LAW,3
ECON2014,PRINCIPLES OF ECONOMICS (MACRO),3
BIO105,BIOLOGY LAB I,1
BIOL101,CYTOLOGY,3
BIOL103,BIOCHEMISTRY,3
ENGL150,INTRODUCTION TO LITERATURE 1,3
MAT090,DEVELOPMENTAL MATHEMATICS,0
BCOM2014,BUSINESS COMMUNICATION,3
MATH2352,STATISTICS II,3
MAT103,TRIGONOMETRY 1,0
ACTG1014,PRINCIPLES OF ACCOUNTING I,3
HIST1051,INTRODUCTION TO HISTORY,3
CMPS2242,SYSTEMS PROGRAMMING & COMPUTER ORGANIZATION,0
HIST1101,PRE-COLOMBIAN SOCIETIES IN L.AMER. & CARIB.,3
HIST1201,POLITICAL & ECONOMIC HISTORY OF BELIZE,3
MATH2025,BUSINESS STATISTICS I,3
MKTG2015,PRINCIPLES OF MARKETING,3
ACTG1054,PRINCIPLES OF ACCOUNTING II,3
RSCH2014,RESEARCH METHODS,3
MGMT2055,BUSINESS ETHICS,3
FNAN3015,FINANCIAL MANAGEMENT,3
EDUC3403,PSYCHOLOGY OF LEARNING,3
EDUC4256,MEASUREMENT AND EVALUATION,3
EDUC3252,INTRODUCTION TO GUIDANCE & COUNSELLING,3
ENGL3155,TECHNICAL WRITING,3
EDUC3552,ADOLESCENT PSYCHOLOGY,3
EDUC3453,CLASSROOM ASSESSMENT,3
ANTH1014,INTRODUCTION TO ANTHROPOLOGY,0
EDUC2224,TEACHING METHODS FOR SECONDARY LEVEL,3
ENGL2105,COMMUNICATION SKILLS,3
CMPS1191,NETWORKING FUNDAMENTALS,3
MATH114,FUNDAMENTALS OF PRIMARY MATH 1,3
EDUC1052,TEACHING METHODS FOR THE PRIMARY CURRICULUM,4
EDUC1092,NATURE OF THE LEARNER,4
SCIE150,INTEGRATED SCIENCE,3
CHEM1015L,GENERAL CHEMISTRY I LAB,1
PHAR1101,INTRODUCTION TO PHARMACY,2
CHEM1015,GENERAL CHEMISTRY I,3
CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,3
NRMP3401,INTRODUCTION TO GIS,4
MATH1302,CALCULUS I,0
LING1152,FUNDAMENTALS OF LINGUISTICS,3
LITR1157,SURVEY OF LITERATURE I,3
LITR2156,BRITISH LITERATURE,3
LITR2206,AFRICAN LITERATURE I,3
ENGL1107,GRAMMAR & USAGE,3
LITR2106,SURVEY OF LITERATURE II,3
BIOL2201,ENERGETICS,2
CHEM1151,FUNDAMENTALS OF CHEMISTRY I,4
BIOL1302,BIODIVERSITY,4
BIOL1151,CYTOLOGY,3
BIOL2402,ECOLOGY,2
CHEM1025,GENERAL CHEMISTRY II,3
BIOL2251,HUMAN HEALTH & DISEASE,3
BIOL2301L,BIOLOGY LAB III,1
BIOL1201,INTRODUCTION TO BIOCHEMISTRY,3
BIOL1352,"REPRODUCTION, GENETICS & EVOLUTION",3
BIOL2352,ANIMAL PHYSIOLOGY,2
CHEM1025L,GENERAL CHEMISTRY II LAB,1
CHEM1151L,FUNDAMENTALS OF CHEMISTRY I LAB,1
BIOL2151,PLANT PHYSIOLOGY,2
BIOL1402L,BIOLOGY LAB II,1
BIOL2452,GROWTH & DEVELOPMENT,2
BIOL1251L,BIOLOGY LAB I,1
CMPS1024,COMPUTER BUSINESS APPLICATIONS,3
CMPS4151,NETWORK ENGINEERING,3
EDUC3101,SOCIAL CONTEXT OF SCHOOLING,3
EDUC3451,PHILOSOPHY OF EDUCATION,3
EDUC3454,INSTRUCTIONAL TECHNOLOGY,3
CMPS3151,TELECOMMUNICATION,3
MGMT3105,HUMAN RESOURCE MANAGEMENT,3
BIOL0016,DEVELOPMENTAL BIOLOGY,0
BIOL2015,HUMAN ANATOMY AND PHYSIOLOGY I,3
CMPS4211,ADVANCED PC REPAIR,3
CMPS4251,COMPUTER AND NETWORK SECURITY,3
CMPS3131,ADVANCED GUI PROGRAMMING,3
MATH2302,MATH MODELING,3
MATH2402,MECHANICS I,3
HIST2402,A HISTORY OF MEXICO,3
MATH2151,STATISTICS I,3
BIOL3402,GENERAL MICROBIOLOGY,3
MATH3012,BIOSTATISTICS II,3
BIOL3402L,GENERAL MICROBIOLOGY LAB,1
BIOL104,REPROD. OF GENETICS & EVOLUTION,3
MATH2251,INTRO TO DISCRETE MATH,3
CHEM2151L,INORGANIC CHEMISTRY LAB,1
CHEM1252,ORGANIC CHEMISTRY I,3
CHEM2151,INORGANIC CHEMISTRY,4
CHEM1202,FUNDAMENTALS OF CHEMISTRY II,4
CHEM1202L,FUNDAMENTALS OF CHEMISTRY II LAB,1
CRTH1014,CRITICAL THINKING,3
MATH1212,MATHEMATICAL SOFTWARE,3
LITR2257,CARIBBEAN LITERATURE I,3
MECH1401,MATERIAL SCIENCE WRKSHOP TECH.,3
PHYS1041,PHYSICS FOR ENGINEERS,2
ELEC1101L,ELECTRICAL WORKSHOP (PRACTICE) I,1
MECH1101L,MECHANICAL WORKSHOP (PRACTICE) I,1
MECH1301,ENGINEERING DRAWING & DESIGN I,3
ALHL2021,HUMAN ANATOMY AND PHYSIOLOGY II,3
CHEM1032,ORGANIC AND BIOCHEMISTRY,3
BIOL1025,GENERAL BIOLOGY II,3
BIOL1025L,GENERAL BIOLOGY II LAB,1
ALHL2012,HUMAN ANATOMY AND PHYSIOLOGY I,3
EDUC1051,INTRODUCTION TO EDUCATION,3
ESCI1151,SCIENCE FOR PRIMARY SCHOOL TEACHERS,3
CMPS3012,MANAGEMENT INFORMATION SYSTEM,3
CMPS1211,HARDWARE FUNDAMENTALS,0
CMPS1192,NETWORKING FUNDAMENTALS,0
NRMP1151,FUNDAMENTALS FOR ENVIRONMENTAL MANAGERS,3
LITR2357,LATIN AMERICAN LITERATURE I,3
ANTH1014,INTRODUCTION TO ANTHROPOLOGY,3
ENL090,DEVELOPMENTAL ENGLISH,0
TOUR1014,INTRODUCTION TO TOURISM,3
TOUR1052,TOURISM GEOGRAPHY,3
BLDG1151,MASONRY,2
CIVL1101,PROPERTIES OF MATERIAL I,2
BLDG1401,BUILDING CONSTRUCTION & DRAWING I,3
BLDG1201,CARPENTRY & JOINERY (THEORY),2
BLDG1101,GEOMETRICAL DRAWING I,2
MATH1045,PRE-CALCULUS,3
BIOL1102,GENETICS,3
CHEM1042,CHEMISTRY FOR ENGINEERS,2
ACAD1102L,COMPUTER AIDED DRAFTING I,2
MATH0014,DEVELOPMENTAL MATH,3
ENGL0095,PRE-COLLEGE ENGLISH II,3
ELEC1401,ELECTRICAL ENGINEERING SCIENCE I,3
MECH1451,MECHANICAL ENGINEERING SCIENCE I,3
ENGL0014,DEVELOPMENTAL ENGLISH,0
ENGL0090,PRE-COLLEGE ENGLISH I,3
CMPS090,REMEDIAL COMPUTER,0
